query,total_exec_time,prop_exec_time,ncalls,sync_io_time
SET statement_timeout='58s',00:00:00.002885,0.0%,215,00:00:00
SET idle_session_timeout='58s',00:00:00.00044,0.0%,215,00:00:00
COMMIT,00:00:00.00022,0.0%,132,00:00:00
BEGIN,00:00:00.000183,0.0%,132,00:00:00
SHOW transaction_read_only,00:00:00.0035,0.0%,130,00:00:00
SET statement_timeout='58s',00:00:00.001394,0.0%,101,00:00:00
SET idle_session_timeout='58s',00:00:00.000211,0.0%,101,00:00:00
SELECT * FROM pgbouncer.get_auth($1),00:00:00.127911,0.7%,93,00:00:00
SET client_min_messages TO WARNING,00:00:00.00018,0.0%,69,00:00:00
SET client_encoding = 'UTF8',00:00:00.000645,0.0%,69,00:00:00
